col0 col1 col2
12.5 2.03832950532217 0.8136665232745394
37.5 1.4893347947053366 0.4275711741741925
62.5 1.5041375784201354 0.32519190064960374
87.5 1.055209709310165 0.2518598806652872
112.5 0.5989082845283451 0.19215258242633476
137.5 0.45672184282756745 0.16684393030479863
162.5 0.4440767403364292 0.15668599747540035
187.5 0.39855195405248733 0.14298951942732424
212.5 0.5281894937660023 0.13816426839291035
237.5 0.26855801244108135 0.119118555760922
262.5 0.47723420674932027 0.12121139858094078
287.5 0.3832817706456422 0.11487573865180163
312.5 0.5224693976764709 0.11625968113255825
337.5 0.296430502724613 0.10073014003751687
362.5 0.473913036624372 0.10380919909678213
387.5 0.41357594761489835 0.09996679381169248
412.5 0.30441074374148824 0.09168353020789358
437.5 0.29738788908073577 0.08928014074425349
462.5 0.3461029437202272 0.08870710654356749
487.5 0.40432228873338394 0.08809723982223035
512.5 0.3062006100437118 0.08279475189490484
537.5 0.35430306025356373 0.08273467126719229
562.5 0.3959478634024278 0.0814445412168952
587.5 0.3390820055297179 0.07833133681364718
612.5 0.24499307925211622 0.07423457795523855
637.5 0.20813388070300531 0.07139186301974583
662.5 0.3889166613646484 0.07508744718161292
687.5 0.33125575863962187 0.07171786088207505
712.5 0.33574250964457497 0.07186260852537832
737.5 0.23091849161309663 0.06708554328980551
762.5 0.3997163220452429 0.07015210549125933
787.5 0.22151798703623315 0.06490354663112136
812.5 0.35595843040715414 0.0673534124754361
837.5 0.3271038118943319 0.06535354725387012
862.5 0.1911469993035313 0.060663220932295335
887.5 0.3291723365842347 0.06333671058755727
912.5 0.23808562034794511 0.06047986809054667
937.5 0.2905863798326058 0.061001945864079025
962.5 0.26466352957345096 0.05969336699215644
987.5 0.2666735197806609 0.05927975017337005
1012.5 0.1859983763365769 0.05629298501490923
1037.5 0.2034601449925777 0.05633818820516637
1062.5 0.20773882573171165 0.05583314503317694
1087.5 0.26541475744423826 0.05603837624218437
1112.5 0.2168412632031942 0.054533788127205475
1137.5 0.2621819722138594 0.05526617224072813
1162.5 0.1895735907421945 0.05283274152058321
1187.5 0.2419084429843663 0.05305025333201303
1212.5 0.29303453913694355 0.054038940518112
1237.5 0.14262566029841905 0.04982019404766837
1262.5 0.21501275041141343 0.051342113307041574
1287.5 0.28523584990949313 0.0522685036036686
1312.5 0.23995581432868773 0.050643512948719056
1337.5 0.1605772934563956 0.04888263746730717
1362.5 0.17307796927004926 0.04862658769260284
